id,title,description,status,priority,category,assigned_to
1,Ticket 1,Description 1,In Progress,Medium,Feature,Bob
2,Ticket 2,Description 2,Closed,High,Support,Charlie
3,Ticket 3,Description 3,Open,Low,Bug,David
4,Ticket 4,Description 4,In Progress,Medium,Feature,Eve
5,Ticket 5,Description 5,Closed,High,Support,Alice
6, Ticket 6,Description 6,Open,Low,Bug,Bob
7,Ticket 7,Description 7,In Progress,Medium,Feature,Charlie
8,Ticket 8,Description 8,Closed,High,Support,David
9,Ticket 9,Description 9,Open,Low,Bug,Eve
10,Ticket 10,Description 10,In Progress,Medium,Feature,Alice
11,Ticket 11,Description 11,Closed,High,Support,Bob
12,Ticket 12,Description 12,Open,Low,Bug,Charlie
13,Ticket 13,Description 13,In Progress,Medium,Feature,David
14,Ticket 14,Description 14,Closed,High,Support,Eve
15,Ticket 15,Description 15,Open,Low,Bug,Alice
16,Ticket 16,Description 16,In Progress,Medium,Feature,Bob
17,Ticket 17,Description 17,Closed,High,Support,Charlie
18,Ticket 18,Description 18,Open,Low,Bug,David
19,Ticket 19,Description 19,In Progress,Medium,Feature,Eve
20,Ticket 20,Description 20,Closed,High,Support,Alice
21,Ticket 21,Description 21,Open,Low,Bug,Bob
22,Ticket 22,Description 22,In Progress,Medium,Feature,Charlie
23,Ticket 23,Description 23,Closed,High,Support,David
24,Ticket 24,Description 24,Open,Low,Bug,Eve
25,Ticket 25,Description 25,In Progress,Medium,Feature,Alice
26,Ticket 26,Description 26,Closed,High,Support,Bob
27,Ticket 27,Description 27,Open,Low,Bug,Charlie
28,Ticket 28,Description 28,In Progress,Medium,Feature,David
29,Ticket 29,Description 29,Closed,High,Support,Eve
30,Ticket 30,Description 30,Open,Low,Bug,Alice
